_id,co_uf,no_uf,ano,variavel,social_categoria,social_subcategoria,valor
58,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 1*,61299.0
59,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 2**,48566.0
60,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 3***,62523.0
61,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade de famílias com os cadastros atualizados e com renda per capita mensal até meio salário mínimo,119485.0
62,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),104844.0
63,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 1*,204457.0
64,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 2**,168359.0
65,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 3***,200283.0
66,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade total de famílias cadastradas,232711.0
67,11,Rondônia,2016,Assistência Social,CadÚnico,"Quantidade total de famílias cadastradas com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",172388.0
68,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade total de famílias com os cadastros atualizados,150998.0
69,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade total de pessoas cadastradas,677943.0
70,11,Rondônia,2016,Assistência Social,CadÚnico,"Quantidade total de pessoas cadastradas em famílias com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",573099.0
71,11,Rondônia,2016,Assistência Social,CadÚnico,Taxa de atualização cadastral - a taxa é obtida pela divisão do Total de Famílias com cadastro atualizado pelo Total de Famílias cadastradas no Cadastro Único.,0.6488649011
72,11,Rondônia,2016,Assistência Social,CadÚnico,Taxa de atualização cadastral até 1/2 Sal. min. - a taxa é obtida pela divisão do Total de Famílias com renda até 1/2 Sal. min. com cadastro atualizado pelo Total de Famílias cadastradas com renda até 1/2 Sal. min. no Cadastro Único.,0.6931166903
73,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade de famílias beneficiárias do Programa Bolsa Família/Auxílio Brasil com algum membro em situação de trabalho infantil,105.0
74,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com algum membro em situação de trabalho infantil,184.0
75,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),58032.0
76,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 1*,57520.0
77,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 2**,46552.0
78,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 3***,66103.0
79,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade de famílias com os cadastros atualizados e com renda per capita mensal até meio salário mínimo,122853.0
80,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),95242.0
81,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 1*,191558.0
82,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 2**,158906.0
83,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 3***,199388.0
84,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade total de famílias cadastradas,228207.0
85,11,Rondônia,2017,Assistência Social,CadÚnico,"Quantidade total de famílias cadastradas com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",170175.0
86,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade total de famílias com os cadastros atualizados,162788.0
87,11,Rondônia,2017,Assistência Social,CadÚnico,Quantidade total de pessoas cadastradas,645094.0
88,11,Rondônia,2017,Assistência Social,CadÚnico,"Quantidade total de pessoas cadastradas em famílias com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",549852.0
89,11,Rondônia,2017,Assistência Social,CadÚnico,Taxa de atualização cadastral - a taxa é obtida pela divisão do Total de Famílias com cadastro atualizado pelo Total de Famílias cadastradas no Cadastro Único.,0.7133348232
90,11,Rondônia,2017,Assistência Social,CadÚnico,Taxa de atualização cadastral até 1/2 Sal. min. - a taxa é obtida pela divisão do Total de Famílias com renda até 1/2 Sal. min. com cadastro atualizado pelo Total de Famílias cadastradas com renda até 1/2 Sal. min. no Cadastro Único.,0.7219215513
91,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade de famílias beneficiárias do Programa Bolsa Família/Auxílio Brasil com algum membro em situação de trabalho infantil,69.0
92,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com algum membro em situação de trabalho infantil,109.0
93,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),67976.0
94,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 1*,52728.0
95,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 2**,40982.0
96,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 3***,63818.0
97,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade de famílias com os cadastros atualizados e com renda per capita mensal até meio salário mínimo,129362.0
98,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),115268.0
99,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 1*,173213.0
100,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 2**,136519.0
101,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 3***,188816.0
102,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade total de famílias cadastradas,225504.0
103,11,Rondônia,2018,Assistência Social,CadÚnico,"Quantidade total de famílias cadastradas com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",157528.0
104,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade total de famílias com os cadastros atualizados,183359.0
105,11,Rondônia,2018,Assistência Social,CadÚnico,Quantidade total de pessoas cadastradas,613816.0
106,11,Rondônia,2018,Assistência Social,CadÚnico,"Quantidade total de pessoas cadastradas em famílias com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",498548.0
107,11,Rondônia,2018,Assistência Social,CadÚnico,Taxa de atualização cadastral - a taxa é obtida pela divisão do Total de Famílias com cadastro atualizado pelo Total de Famílias cadastradas no Cadastro Único.,0.813107528
108,11,Rondônia,2018,Assistência Social,CadÚnico,Taxa de atualização cadastral até 1/2 Sal. min. - a taxa é obtida pela divisão do Total de Famílias com renda até 1/2 Sal. min. com cadastro atualizado pelo Total de Famílias cadastradas com renda até 1/2 Sal. min. no Cadastro Único.,0.8212000406
109,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade de famílias beneficiárias do Programa Bolsa Família/Auxílio Brasil com algum membro em situação de trabalho infantil,25.0
110,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com algum membro em situação de trabalho infantil,32.0
111,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),82965.0
112,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 1*,55149.0
113,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 2**,41274.0
114,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 3***,68721.0
115,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade de famílias com os cadastros atualizados e com renda per capita mensal até meio salário mínimo,133677.0
116,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),140651.0
117,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 1*,177348.0
118,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 2**,134236.0
119,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 3***,197059.0
120,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade total de famílias cadastradas,248109.0
121,11,Rondônia,2019,Assistência Social,CadÚnico,"Quantidade total de famílias cadastradas com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",165144.0
122,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade total de famílias com os cadastros atualizados,199983.0
123,11,Rondônia,2019,Assistência Social,CadÚnico,Quantidade total de pessoas cadastradas,649294.0
124,11,Rondônia,2019,Assistência Social,CadÚnico,"Quantidade total de pessoas cadastradas em famílias com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",508643.0
125,11,Rondônia,2019,Assistência Social,CadÚnico,Taxa de atualização cadastral - a taxa é obtida pela divisão do Total de Famílias com cadastro atualizado pelo Total de Famílias cadastradas no Cadastro Único.,0.8060288019
126,11,Rondônia,2019,Assistência Social,CadÚnico,Taxa de atualização cadastral até 1/2 Sal. min. - a taxa é obtida pela divisão do Total de Famílias com renda até 1/2 Sal. min. com cadastro atualizado pelo Total de Famílias cadastradas com renda até 1/2 Sal. min. no Cadastro Único.,0.809457201
127,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade de famílias beneficiárias do Programa Bolsa Família/Auxílio Brasil com algum membro em situação de trabalho infantil,21.0
128,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com algum membro em situação de trabalho infantil,22.0
129,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),79805.0
130,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 1*,56157.0
131,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 2**,40382.0
132,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 3***,73858.0
133,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade de famílias com os cadastros atualizados e com renda per capita mensal até meio salário mínimo,121041.0
134,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),133916.0
135,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 1*,176920.0
136,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 2**,128405.0
137,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 3***,202336.0
138,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade total de famílias cadastradas,250202.0
139,11,Rondônia,2020,Assistência Social,CadÚnico,"Quantidade total de famílias cadastradas com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",170397.0
140,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade total de famílias com os cadastros atualizados,176717.0
141,11,Rondônia,2020,Assistência Social,CadÚnico,Quantidade total de pessoas cadastradas,641577.0
142,11,Rondônia,2020,Assistência Social,CadÚnico,"Quantidade total de pessoas cadastradas em famílias com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",507661.0
143,11,Rondônia,2020,Assistência Social,CadÚnico,Taxa de atualização cadastral - a taxa é obtida pela divisão do Total de Famílias com cadastro atualizado pelo Total de Famílias cadastradas no Cadastro Único.,0.7062973118
144,11,Rondônia,2020,Assistência Social,CadÚnico,Taxa de atualização cadastral até 1/2 Sal. min. - a taxa é obtida pela divisão do Total de Famílias com renda até 1/2 Sal. min. com cadastro atualizado pelo Total de Famílias cadastradas com renda até 1/2 Sal. min. no Cadastro Único.,0.7103470132
145,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade de famílias beneficiárias do Programa Bolsa Família/Auxílio Brasil com algum membro em situação de trabalho infantil,22.0
146,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com algum membro em situação de trabalho infantil,23.0
147,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),89354.0
148,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 1*,59310.0
149,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 2**,46686.0
150,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 3***,88684.0
151,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade de famílias com os cadastros atualizados e com renda per capita mensal até meio salário mínimo,116337.0
152,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),147291.0
153,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 1*,179426.0
154,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 2**,140939.0
155,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 3***,236408.0
156,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade total de famílias cadastradas,284034.0
157,11,Rondônia,2021,Assistência Social,CadÚnico,"Quantidade total de famílias cadastradas com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",194680.0
158,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade total de famílias com os cadastros atualizados,161535.0
159,11,Rondônia,2021,Assistência Social,CadÚnico,Quantidade total de pessoas cadastradas,704064.0
160,11,Rondônia,2021,Assistência Social,CadÚnico,"Quantidade total de pessoas cadastradas em famílias com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",556773.0
161,11,Rondônia,2021,Assistência Social,CadÚnico,Taxa de atualização cadastral - a taxa é obtida pela divisão do Total de Famílias com cadastro atualizado pelo Total de Famílias cadastradas no Cadastro Único.,0.5687171254
162,11,Rondônia,2021,Assistência Social,CadÚnico,Taxa de atualização cadastral até 1/2 Sal. min. - a taxa é obtida pela divisão do Total de Famílias com renda até 1/2 Sal. min. com cadastro atualizado pelo Total de Famílias cadastradas com renda até 1/2 Sal. min. no Cadastro Único.,0.5975806452
163,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade de famílias beneficiárias do Programa Bolsa Família/Auxílio Brasil com algum membro em situação de trabalho infantil,22.0
164,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com algum membro em situação de trabalho infantil,29.0
165,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),103156.0
166,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 1*,93834.0
167,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 2**,59225.0
168,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 3***,94901.0
169,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade de famílias com os cadastros atualizados e com renda per capita mensal até meio salário mínimo,190095.0
170,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),167103.0
171,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 1*,238467.0
172,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 2**,164392.0
173,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 3***,247721.0
174,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade total de famílias cadastradas,351116.0
175,11,Rondônia,2022,Assistência Social,CadÚnico,"Quantidade total de famílias cadastradas com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",247960.0
176,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade total de famílias com os cadastros atualizados,251560.0
177,11,Rondônia,2022,Assistência Social,CadÚnico,Quantidade total de pessoas cadastradas,817683.0
178,11,Rondônia,2022,Assistência Social,CadÚnico,"Quantidade total de pessoas cadastradas em famílias com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",650580.0
179,11,Rondônia,2022,Assistência Social,CadÚnico,Taxa de atualização cadastral - a taxa é obtida pela divisão do Total de Famílias com cadastro atualizado pelo Total de Famílias cadastradas no Cadastro Único.,0.7164583784
180,11,Rondônia,2022,Assistência Social,CadÚnico,Taxa de atualização cadastral até 1/2 Sal. min. - a taxa é obtida pela divisão do Total de Famílias com renda até 1/2 Sal. min. com cadastro atualizado pelo Total de Famílias cadastradas com renda até 1/2 Sal. min. no Cadastro Único.,0.7666357477
181,12,Acre,2012,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),3284.0
182,12,Acre,2012,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 1*,68015.0
183,12,Acre,2012,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 2**,25097.0
184,12,Acre,2012,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 3***,13001.0
185,12,Acre,2012,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),7484.0
186,12,Acre,2012,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 1*,297662.0
187,12,Acre,2012,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 2**,101912.0
188,12,Acre,2012,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 3***,42618.0
189,12,Acre,2012,Assistência Social,CadÚnico,Quantidade total de famílias cadastradas,109397.0
